axis,from,to,pairs,strict_flips,strict_flip_pct,robust_flips,robust_flip_pct,mean_delta_change_pct_points
core,off,on,14976,527,3.518963675213675,65,0.4340277777777778,-0.06652571583206339
main_advantage,off,on,14976,653,4.360309829059829,282,1.8830128205128205,0.2466746353555923
b1_growth,g1-base5-none,g2-ol0-sr5,7488,33,0.4407051282051282,0,0.0,-0.022417482179636922
b1_growth,g2-ol0-sr5,g3-ol0-sr15-e3-a3,7488,51,0.6810897435897436,4,0.05341880341880342,0.029668271450550596
b1_growth,g3-ol0-sr15-e3-a3,g4-ol5-sr15-e4-a4-ammo3,7488,78,1.0416666666666665,4,0.05341880341880342,-0.0023092753534812677
main_growth,g1-base5-none,g2-ol0-sr5,7488,78,1.0416666666666665,0,0.0,0.0067506834415387885
main_growth,g2-ol0-sr5,g3-ol0-sr15-e3-a3,7488,363,4.847756410256411,203,2.7110042735042734,0.32625654860973136
main_growth,g3-ol0-sr15-e3-a3,g4-ol5-sr15-e4-a4-ammo3,7488,281,3.75267094017094,89,1.188568376068376,0.06473532286634079
secondary_growth,g1-base5-none,g2-ol0-sr5,7488,11,0.1469017094017094,0,0.0,-0.0022752763548791956
secondary_growth,g2-ol0-sr5,g3-ol0-sr15-e3-a3,7488,55,0.734508547008547,0,0.0,-0.03296302297021527
secondary_growth,g3-ol0-sr15-e3-a3,g4-ol5-sr15-e4-a4-ammo3,7488,62,0.827991452991453,0,0.0,0.04118306367647869
